ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
g100,3,PM-CRH,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,LA1,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,LA2,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,CATD,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,LFC,4,0.8110749185667753,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,ZC,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,PM-CRH,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,LA1,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,3,LA2,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CATD,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,LFC,0,0.8013029315960912,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.3076923076923077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
