ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
f100,6,minmax,1,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,6,minmax,2,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,6,minmax,3,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,6,minmax,4,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,9,minmax,0,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,9,minmax,1,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,9,minmax,2,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,9,minmax,3,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f100,9,minmax,4,0.8241042345276873,0.9727891156462585,0.975,0.0,0.52,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,minmax,0,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,minmax,1,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,minmax,2,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,minmax,3,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,minmax,4,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,minmax,0,0.7785016286644951,0.9251700680272109,0.9875,0.0,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,minmax,1,0.7785016286644951,0.9251700680272109,0.9875,0.0,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,minmax,2,0.7785016286644951,0.9251700680272109,0.9875,0.0,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,minmax,3,0.7785016286644951,0.9251700680272109,0.9875,0.0,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,minmax,4,0.7785016286644951,0.9251700680272109,0.9875,0.0,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,minmax,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,minmax,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,minmax,2,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,minmax,3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,minmax,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,9,minmax,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,9,minmax,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,9,minmax,2,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,9,minmax,3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,9,minmax,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,0,minmax,0,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,0,minmax,1,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,0,minmax,2,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,0,minmax,3,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,0,minmax,4,0.7328990228013029,0.9931972789115646,0.975,0.0,0.04,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,1,minmax,0,0.9022801302931596,0.9931972789115646,1.0,0.0,0.52,0.7307692307692307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,1,minmax,1,0.9022801302931596,0.9931972789115646,1.0,0.0,0.52,0.7307692307692307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,1,minmax,2,0.9022801302931596,0.9931972789115646,1.0,0.0,0.52,0.7307692307692307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,1,minmax,3,0.9022801302931596,0.9931972789115646,1.0,0.0,0.52,0.7307692307692307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,1,minmax,4,0.9022801302931596,0.9931972789115646,1.0,0.0,0.52,0.7307692307692307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,2,minmax,0,0.9087947882736156,0.9931972789115646,1.0,0.0,0.52,0.7692307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,2,minmax,1,0.9087947882736156,0.9931972789115646,1.0,0.0,0.52,0.7692307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,2,minmax,2,0.9087947882736156,0.9931972789115646,1.0,0.0,0.52,0.7692307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,2,minmax,3,0.9087947882736156,0.9931972789115646,1.0,0.0,0.52,0.7692307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,2,minmax,4,0.9087947882736156,0.9931972789115646,1.0,0.0,0.52,0.7692307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,3,minmax,0,0.8664495114006515,0.9863945578231292,1.0,0.0,0.52,0.5384615384615384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,3,minmax,1,0.8664495114006515,0.9863945578231292,1.0,0.0,0.52,0.5384615384615384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,3,minmax,2,0.8664495114006515,0.9863945578231292,1.0,0.0,0.52,0.5384615384615384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,3,minmax,3,0.8664495114006515,0.9863945578231292,1.0,0.0,0.52,0.5384615384615384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mix,3,minmax,4,0.8664495114006515,0.9863945578231292,1.0,0.0,0.52,0.5384615384615384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
