ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
l250,3,OneCoin,3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,MACE-EM,3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,MMSR,3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,HSDS_EM,3,0.8566775244299675,0.9863945578231292,0.9875,0.3333333333333333,0.44,0.5192307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,BDS(iter_sampling=3000),3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,3,HSDS_MCMC(iter_sampling=3000),3,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,3,EMDS,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,GLAD,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,OneCoin,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,MACE-EM,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,MMSR,4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,HSDS_EM,4,0.8566775244299675,0.9863945578231292,0.9875,0.3333333333333333,0.44,0.5192307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,BDS(iter_sampling=3000),4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,3,HSDS_MCMC(iter_sampling=3000),4,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,6,EMDS,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,GLAD,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,OneCoin,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,MACE-EM,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,MMSR,0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,HSDS_EM,0,0.7915309446254072,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,BDS(iter_sampling=3000),0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,6,HSDS_MCMC(iter_sampling=3000),0,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,6,EMDS,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,GLAD,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,OneCoin,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,MACE-EM,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,MMSR,1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,HSDS_EM,1,0.7915309446254072,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,6,BDS(iter_sampling=3000),1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,2,47,50,0,0,0,0,12,12,0,0,0,0
l250,6,HSDS_MCMC(iter_sampling=3000),1,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0
l250,6,EMDS,2,0.7817589576547231,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.36538461538461536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
