dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hetero,BDS(iter_sampling=2000),mean,2,4,4,0,0.974,0.996,2,461,304,517,146,302,16,13,20,14,12
tiny,hetero,BDS(iter_sampling=3000),mean,2,4,4,0,0.68,1.0,0,315,443,474,531,492,12,18,20,20,20
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,4,4,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,4,4,1,0.9932,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,4,4,0,0.9924,0.998,0,0,0,149,144,0,0,0,14,13,0
tiny,hetero,EMDS,mean,2,8,0,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,8,0,-1,0.8308,0.154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,8,0,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,8,0,0,0.5884,0.0,2,299,609,507,217,266,40,38,31,30,24
tiny,hetero,BDS(iter_sampling=2000),mean,2,8,0,0,0.7816,1.0,2,33,445,367,611,478,40,30,33,40,38
tiny,hetero,BDS(iter_sampling=3000),mean,2,8,0,0,0.5996,0.0,2,0,306,606,213,382,0,24,40,30,34
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,8,0,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,8,0,0,0.9996,1.0,0,0,0,154,145,0,0,0,29,30,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,8,0,0,0.9996,1.0,0,0,0,157,154,0,0,0,30,30,0
tiny,hetero,EMDS,mean,2,8,1,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,8,1,-1,0.8308,0.154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,8,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,8,1,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,8,1,0,0.5596,0.0,3,293,493,376,453,269,40,40,37,34,23
tiny,hetero,BDS(iter_sampling=2000),mean,2,8,1,0,0.7992,0.0,3,234,524,313,0,454,39,31,20,0,29
tiny,hetero,BDS(iter_sampling=3000),mean,2,8,1,0,0.4748,0.0,2,463,399,522,403,350,40,37,37,37,23
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,8,1,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,8,1,0,0.9316,1.0,0,0,0,206,214,0,0,0,30,30,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,8,1,0,0.9996,1.0,0,0,0,152,151,0,0,0,30,30,0
tiny,hetero,EMDS,mean,2,8,2,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,8,2,-1,0.8308,0.154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,8,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,8,2,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,8,2,0,0.6,1.0,2,331,262,521,475,476,40,23,36,29,33
tiny,hetero,BDS(iter_sampling=2000),mean,2,8,2,0,0.4,0.0,3,29,310,500,396,468,40,20,34,34,30
tiny,hetero,BDS(iter_sampling=3000),mean,2,8,2,0,0.9996,1.0,2,34,0,0,326,470,40,0,0,30,35
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,8,2,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,8,2,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,8,2,0,0.9996,1.0,2,33,0,224,0,0,40,0,14,0,0
tiny,hetero,EMDS,mean,2,8,3,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,8,3,-1,0.8308,0.154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,8,3,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,8,3,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,8,3,0,0.7276,1.0,2,316,488,392,472,538,40,30,37,37,35
tiny,hetero,BDS(iter_sampling=2000),mean,2,8,3,0,0.57,0.974,2,302,476,611,214,457,40,38,33,30,29
tiny,hetero,BDS(iter_sampling=3000),mean,2,8,3,0,0.4008,0.0,3,0,573,617,0,532,0,32,33,0,29
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,8,3,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,8,3,0,0.9996,1.0,0,0,0,153,150,0,0,0,30,30,0
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,8,3,0,0.9996,1.0,0,0,0,154,146,0,0,0,30,30,0
tiny,hetero,EMDS,mean,2,8,4,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,8,4,-1,0.8308,0.154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,8,4,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,8,4,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,8,4,0,0.3996,0.0,3,304,340,229,613,314,40,25,21,33,24
tiny,hetero,BDS(iter_sampling=2000),mean,2,8,4,0,0.6,0.0,2,248,397,306,379,473,39,37,24,30,37
tiny,hetero,BDS(iter_sampling=3000),mean,2,8,4,0,0.792,0.0,2,354,0,517,354,320,40,0,30,24,29
tiny,hetero,Two-Step-MCMC(iter_sampling=1000),mean,2,8,4,0,0.9996,1.0,0,0,263,153,147,273,0,22,28,30,23
tiny,hetero,Two-Step-MCMC(iter_sampling=2000),mean,2,8,4,0,0.9996,1.0,2,34,0,0,0,226,40,0,0,0,16
tiny,hetero,Two-Step-MCMC(iter_sampling=3000),mean,2,8,4,1,0.9996,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,mean,2,12,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,mean,2,12,0,-1,0.8072,0.036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,mean,2,12,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,TwoStep-EM,mean,2,12,0,-1,0.9968,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),mean,2,12,0,0,0.9804,1.0,2,302,400,494,146,506,60,40,49,44,60
tiny,hetero,BDS(iter_sampling=2000),mean,2,12,0,0,0.8376,0.188,2,294,513,330,519,0,60,51,34,53,0
