num_ai,iteration,method,accuracy,biased_accuracy
0,0,CATD,0.8363338788870703,0.4174757281553398
0,0,LA1,0.8445171849427169,0.4174757281553398
0,0,LA2,0.8494271685761048,0.4077669902912621
0,0,LFC,0.839607201309329,0.5242718446601942
0,0,minmax,0.7986906710310966,0.0
0,0,PM-CRH,0.8527004909983633,0.5825242718446602
0,0,ZC,0.855973813420622,0.49514563106796117
0,1,CATD,0.8576104746317512,0.4174757281553398
0,1,LA1,0.823240589198036,0.30097087378640774
0,1,LA2,0.8363338788870703,0.3106796116504854
0,1,LFC,0.839607201309329,0.5242718446601942
0,1,minmax,0.7986906710310966,0.0
0,1,PM-CRH,0.8428805237315876,0.6019417475728155
0,1,ZC,0.855973813420622,0.49514563106796117
0,2,CATD,0.8166939443535188,0.4563106796116505
0,2,LA1,0.8445171849427169,0.3300970873786408
0,2,LA2,0.8445171849427169,0.33980582524271846
0,2,LFC,0.839607201309329,0.5242718446601942
0,2,minmax,0.7986906710310966,0.0
0,2,PM-CRH,0.8494271685761048,0.5922330097087378
0,2,ZC,0.855973813420622,0.49514563106796117
0,3,CATD,0.8477905073649754,0.5048543689320388
0,3,LA1,0.8297872340425532,0.3106796116504854
0,3,LA2,0.8379705400981997,0.32038834951456313
0,3,LFC,0.839607201309329,0.5242718446601942
0,3,minmax,0.7986906710310966,0.0
0,3,PM-CRH,0.8527004909983633,0.5825242718446602
0,3,ZC,0.855973813420622,0.49514563106796117
0,4,CATD,0.855973813420622,0.4368932038834951
0,4,LA1,0.8101472995090017,0.33980582524271846
0,4,LA2,0.8248772504091653,0.3592233009708738
0,4,LFC,0.839607201309329,0.5242718446601942
0,4,minmax,0.7986906710310966,0.0
0,4,PM-CRH,0.8494271685761048,0.5825242718446602
0,4,ZC,0.855973813420622,0.49514563106796117
5,0,CATD,0.7561374795417348,0.0970873786407767
5,0,LA1,0.7594108019639935,0.11650485436893204
5,0,LA2,0.7594108019639935,0.11650485436893204
5,0,LFC,0.8445171849427169,0.2815533980582524
5,0,minmax,0.7430441898527005,0.019417475728155338
5,0,PM-CRH,0.8477905073649754,0.6019417475728155
5,0,ZC,0.7594108019639935,0.11650485436893204
5,1,CATD,0.7659574468085106,0.1553398058252427
5,1,LA1,0.7594108019639935,0.11650485436893204
5,1,LA2,0.7594108019639935,0.11650485436893204
5,1,LFC,0.8445171849427169,0.2815533980582524
5,1,minmax,0.7430441898527005,0.019417475728155338
5,1,PM-CRH,0.8477905073649754,0.6019417475728155
5,1,ZC,0.7594108019639935,0.11650485436893204
5,2,CATD,0.7561374795417348,0.0970873786407767
5,2,LA1,0.7594108019639935,0.11650485436893204
5,2,LA2,0.7594108019639935,0.11650485436893204
5,2,LFC,0.8445171849427169,0.2815533980582524
5,2,minmax,0.7430441898527005,0.019417475728155338
5,2,PM-CRH,0.8527004909983633,0.6019417475728155
5,2,ZC,0.7594108019639935,0.11650485436893204
5,3,CATD,0.7561374795417348,0.0970873786407767
5,3,LA1,0.7594108019639935,0.11650485436893204
5,3,LA2,0.7594108019639935,0.11650485436893204
5,3,LFC,0.8445171849427169,0.2815533980582524
5,3,minmax,0.7430441898527005,0.019417475728155338
5,3,PM-CRH,0.8477905073649754,0.6019417475728155
5,3,ZC,0.7594108019639935,0.11650485436893204
5,4,CATD,0.7561374795417348,0.0970873786407767
5,4,LA1,0.7594108019639935,0.11650485436893204
5,4,LA2,0.7594108019639935,0.11650485436893204
5,4,LFC,0.8445171849427169,0.2815533980582524
5,4,minmax,0.7430441898527005,0.019417475728155338
5,4,PM-CRH,0.8477905073649754,0.6019417475728155
5,4,ZC,0.7594108019639935,0.11650485436893204
10,0,CATD,0.7430441898527005,0.019417475728155338
10,0,LA1,0.7463175122749591,0.038834951456310676
10,0,LA2,0.7463175122749591,0.038834951456310676
10,0,LFC,0.8150572831423896,0.10679611650485436
10,0,minmax,0.7414075286415712,0.009708737864077669
10,0,PM-CRH,0.8527004909983633,0.6019417475728155
10,0,ZC,0.7463175122749591,0.038834951456310676
10,1,CATD,0.7446808510638298,0.02912621359223301
10,1,LA1,0.7463175122749591,0.038834951456310676
10,1,LA2,0.7463175122749591,0.038834951456310676
10,1,LFC,0.8150572831423896,0.10679611650485436
10,1,minmax,0.7414075286415712,0.009708737864077669
10,1,PM-CRH,0.8527004909983633,0.6019417475728155
10,1,ZC,0.7463175122749591,0.038834951456310676
10,2,CATD,0.7430441898527005,0.019417475728155338
10,2,LA1,0.7463175122749591,0.038834951456310676
10,2,LA2,0.7463175122749591,0.038834951456310676
10,2,LFC,0.8150572831423896,0.10679611650485436
10,2,minmax,0.7414075286415712,0.009708737864077669
10,2,PM-CRH,0.8527004909983633,0.6019417475728155
10,2,ZC,0.7463175122749591,0.038834951456310676
10,3,CATD,0.7430441898527005,0.019417475728155338
10,3,LA1,0.7463175122749591,0.038834951456310676
10,3,LA2,0.7463175122749591,0.038834951456310676
10,3,LFC,0.8150572831423896,0.10679611650485436
10,3,minmax,0.7414075286415712,0.009708737864077669
10,3,PM-CRH,0.8527004909983633,0.6019417475728155
10,3,ZC,0.7463175122749591,0.038834951456310676
10,4,CATD,0.7446808510638298,0.02912621359223301
10,4,LA1,0.7463175122749591,0.038834951456310676
10,4,LA2,0.7463175122749591,0.038834951456310676
10,4,LFC,0.8150572831423896,0.10679611650485436
10,4,minmax,0.7414075286415712,0.009708737864077669
10,4,PM-CRH,0.8527004909983633,0.6019417475728155
10,4,ZC,0.7463175122749591,0.038834951456310676
