num_ai,iteration,method,accuracy,recall
5,0,EMDS,0.7561374795417348,0.019417475728155338
5,0,GLAD,0.7397708674304418,0.0
5,0,MACE-EM,0.7397708674304418,0.0
5,0,MMSR,0.7397708674304418,0.0
5,0,MV,0.7397708674304418,0.0
5,0,OneCoin,0.7397708674304418,0.0
5,1,EMDS,0.7561374795417348,0.019417475728155338
5,1,GLAD,0.7397708674304418,0.0
5,1,MACE-EM,0.7397708674304418,0.0
5,1,MMSR,0.7397708674304418,0.0
5,1,MV,0.7397708674304418,0.0
5,1,OneCoin,0.7397708674304418,0.0
5,2,EMDS,0.7561374795417348,0.019417475728155338
5,2,GLAD,0.7397708674304418,0.0
5,2,MACE-EM,0.7397708674304418,0.0
5,2,MMSR,0.7397708674304418,0.0
5,2,MV,0.7397708674304418,0.0
5,2,OneCoin,0.7397708674304418,0.0
5,3,EMDS,0.7561374795417348,0.019417475728155338
5,3,GLAD,0.7397708674304418,0.0
5,3,MACE-EM,0.7397708674304418,0.0
5,3,MMSR,0.7397708674304418,0.0
5,3,MV,0.7397708674304418,0.0
5,3,OneCoin,0.7397708674304418,0.0
5,4,EMDS,0.7561374795417348,0.019417475728155338
5,4,GLAD,0.7397708674304418,0.0
5,4,MACE-EM,0.7397708674304418,0.0
5,4,MMSR,0.7397708674304418,0.0
5,4,MV,0.7397708674304418,0.0
5,4,OneCoin,0.7397708674304418,0.0
10,0,EMDS,0.7692307692307693,0.06796116504854369
10,0,GLAD,0.7414075286415712,0.009708737864077669
10,0,MACE-EM,0.7397708674304418,0.0
10,0,MMSR,0.7414075286415712,0.009708737864077669
10,0,MV,0.7414075286415712,0.009708737864077669
10,0,OneCoin,0.7397708674304418,0.0
10,1,EMDS,0.7692307692307693,0.06796116504854369
10,1,GLAD,0.7414075286415712,0.009708737864077669
10,1,MACE-EM,0.7397708674304418,0.0
10,1,MMSR,0.7414075286415712,0.009708737864077669
10,1,MV,0.7414075286415712,0.009708737864077669
10,1,OneCoin,0.7397708674304418,0.0
10,2,EMDS,0.7692307692307693,0.06796116504854369
10,2,GLAD,0.7414075286415712,0.009708737864077669
10,2,MACE-EM,0.7397708674304418,0.0
10,2,MMSR,0.7414075286415712,0.009708737864077669
10,2,MV,0.7414075286415712,0.009708737864077669
10,2,OneCoin,0.7397708674304418,0.0
10,3,EMDS,0.7692307692307693,0.06796116504854369
10,3,GLAD,0.7414075286415712,0.009708737864077669
10,3,MACE-EM,0.7397708674304418,0.0
10,3,MMSR,0.7414075286415712,0.009708737864077669
10,3,MV,0.7414075286415712,0.009708737864077669
10,3,OneCoin,0.7397708674304418,0.0
10,4,EMDS,0.7692307692307693,0.06796116504854369
10,4,GLAD,0.7414075286415712,0.009708737864077669
10,4,MACE-EM,0.7397708674304418,0.0
10,4,MMSR,0.7414075286415712,0.009708737864077669
10,4,MV,0.7414075286415712,0.009708737864077669
10,4,OneCoin,0.7397708674304418,0.0
0,0,EMDS,0.8379705400981997,0.5048543689320388
0,0,GLAD,0.8543371522094927,0.49514563106796117
0,0,MACE-EM,0.8428805237315876,0.5339805825242718
0,0,MMSR,0.8576104746317512,0.3592233009708738
0,0,MV,0.8608837970540099,0.36893203883495146
0,0,OneCoin,0.8723404255319149,0.5048543689320388
0,1,EMDS,0.8379705400981997,0.5048543689320388
0,1,GLAD,0.8543371522094927,0.49514563106796117
0,1,MACE-EM,0.8428805237315876,0.5339805825242718
0,1,MMSR,0.8592471358428805,0.3883495145631068
0,1,MV,0.8608837970540099,0.36893203883495146
0,1,OneCoin,0.8723404255319149,0.5048543689320388
0,2,EMDS,0.8379705400981997,0.5048543689320388
0,2,GLAD,0.8543371522094927,0.49514563106796117
0,2,MACE-EM,0.8428805237315876,0.5339805825242718
0,2,MMSR,0.8494271685761048,0.34951456310679613
0,2,MV,0.8608837970540099,0.36893203883495146
0,2,OneCoin,0.8723404255319149,0.5048543689320388
0,3,EMDS,0.8379705400981997,0.5048543689320388
0,3,GLAD,0.8543371522094927,0.49514563106796117
0,3,MACE-EM,0.8428805237315876,0.5339805825242718
0,3,MMSR,0.8150572831423896,0.30097087378640774
0,3,MV,0.8608837970540099,0.36893203883495146
0,3,OneCoin,0.8723404255319149,0.5048543689320388
0,4,EMDS,0.8379705400981997,0.5048543689320388
0,4,GLAD,0.8543371522094927,0.49514563106796117
0,4,MACE-EM,0.8428805237315876,0.5339805825242718
0,4,MMSR,0.8543371522094927,0.3300970873786408
0,4,MV,0.8608837970540099,0.36893203883495146
0,4,OneCoin,0.8723404255319149,0.5048543689320388
