dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,homo,GLAD,max,2,4,4,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,4,4,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,4,4,-1,0.9868,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,4,4,0,0.7956,0.0,2,387,230,344,146,0,20,4,8,8,0
tiny,homo,BDS(iter_sampling=2000),max,2,4,4,0,0.7956,0.98,2,44,308,478,405,618,20,8,12,12,16
tiny,homo,BDS(iter_sampling=3000),max,2,4,4,0,0.996,0.98,4,458,413,361,418,410,20,8,12,20,12
tiny,homo,HSDS_MCMC(iter_sampling=1000),max,2,4,4,1,0.9976,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=2000),max,2,4,4,1,0.9976,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=3000),max,2,4,4,1,0.9972,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,EMDS,max,2,8,0,-1,0.8772,0.386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,max,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,8,0,-1,0.996,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,8,0,0,0.5964,0.0,3,420,232,348,266,0,24,8,24,37,0
tiny,homo,BDS(iter_sampling=2000),max,2,8,0,0,0.7936,0.0,2,390,263,342,150,421,40,16,16,16,16
tiny,homo,BDS(iter_sampling=3000),max,2,8,0,0,0.8,0.0,5,433,409,364,500,545,40,16,24,39,32
